epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.838,3.1333,4.52499,3.83053,0.01882,0.04683,0.00409,0.00087,6.18709,9.75996,8.84466,0.070099,0.00332233,0.00332233
2,232.489,3.18357,4.06447,3.86416,0.10957,0.19559,0.04908,0.01334,5.35289,12.0303,6.41559,0.0400331,0.00658977,0.00658977
3,344.086,3.07809,3.80406,3.75828,0.19326,0.19008,0.08902,0.0305,4.74161,7.42175,5.64167,0.00990123,0.00979122,0.00979122
4,453.279,2.95717,3.52398,3.6262,0.4537,0.29752,0.25536,0.12012,3.87537,5.50764,4.78475,0.009703,0.009703,0.009703
5,563.528,2.83243,3.34808,3.50264,0.33558,0.23416,0.16246,0.06843,4.81496,6.17853,6.05987,0.009604,0.009604,0.009604
6,672.984,2.79996,3.25559,3.47032,0.33402,0.37741,0.26518,0.12375,3.61205,5.27837,4.31804,0.009505,0.009505,0.009505
7,782.687,2.74592,3.21403,3.41903,0.51989,0.3416,0.34346,0.19198,3.50689,4.64624,4.18111,0.009406,0.009406,0.009406
8,894.74,2.64057,3.05422,3.34587,0.60963,0.27824,0.31449,0.17297,3.62609,5.01553,4.35274,0.009307,0.009307,0.009307
9,1007.13,2.60897,3.00914,3.2985,0.58494,0.3416,0.3745,0.21727,3.33241,4.36936,4.06328,0.009208,0.009208,0.009208
10,1120.1,2.57452,2.97649,3.27979,0.40368,0.35537,0.30782,0.17395,3.57095,5.40062,4.361,0.009109,0.009109,0.009109
11,1230.68,2.56578,2.88352,3.27283,0.60081,0.38017,0.39883,0.2272,3.31842,4.17128,4.02588,0.00901,0.00901,0.00901
12,1339.4,2.53094,2.85753,3.23901,0.58852,0.36088,0.39785,0.23282,3.21955,4.13416,3.95979,0.008911,0.008911,0.008911
